name,snid_z,snid_z_std
iPTF13dzm,0.016,0.0064
MOTJ0746,0.0188,0.0047
SNLS-05D1az,0.8391,0.0085
PTF10ng,0.1808,0.0057
PTF10pvh,0.104,0.0026
SDSS-SN-075,0.1397,0.0051
iPTF13dwl,0.0881,0.0048
SDSS-SN-119,0.0534,0.0038
PTF10aaey,0.1025,0.006
PTF12kim,0.0772,0.0043
OGLE-2013-SN-124,0.1274,0.0052
ASASSN-15uv,0.017,0.0033
OGLE-2013-SN-123,0.0686,0.0051
PTF09dxo,0.0567,0.0049
2021abuz,0.0655,0.0
ASASSN-14fo,0.0232,0.0014
2003hu,0.0781,0.0031
2022ypb,0.0205,0.0032
PTF10hdn,0.0655,0.005
PTF10ucl,0.0814,0.0022
2006nz,0.0381,0.0067
1999dk,0.0064,0.0034
LSQ12euu,0.1176,0.0039
LSQ13dig,0.0794,0.0051
iPTF15bfs,0.1375,0.0057
LSQ16bu,0.0421,0.0015
PAMELA,0.1499,0.0041
PTF11dfv,0.1373,0.0043
LSQ13bdk,0.1598,0.0066
2007ol,0.0635,0.0071
2000fw,0.0969,0.0077
LSQ14eew,0.1017,0.0066
MLS140209-104850+102820,0.1441,0.0084
2007ai,0.0029,0.0052
iPTF14gwp,0.2223,0.0025
2004bc,0.0217,0.0059
2001en,0.0174,0.0057
2005lz,0.0438,0.0028
OGLE16dak,0.0684,0.0022
2006fk,0.1716,0.0035
PTF11ijp,0.1332,0.0057
2005hc,0.01,0.0212
MASTERJ162412.26+091303.0,0.0457,0.0047
2006cf,0.0453,0.0039
2007mf,0.1989,0.0047
2006cz,0.0408,0.0056
2007bd,0.0164,0.0144
2023ewr,0.0456,0.0025
1999cc,0.0335,0.0051
PTF12gqh,0.0531,0.0036
CSS130828-223849-251246,0.0721,0.0016
PTF12loq,0.108,0.0053
LSQ12cda,0.143,0.0055
PTF12mgc,0.1414,0.0035
PTF12cyd,0.1658,0.0031
SDSS-SN-061,0.1673,0.0018
ASASSN-15go,0.0126,0.0028
1998eg,0.0305,0.0053
